"Player Id","Ign","Team"
9315,"8nFiniTy","Novus Esports"
5000,"8nFiniTλ",""
12059,"909duckwizard","Krampus"
16009,"90Gnust",""
22525,"90Shooters","Orion Genesis eSports"
21680,"911","PEEK Gaming"
13826,"911wasCTsided","TEAM KICK IT"
21326,"942","Social League"
6703,"972","Noble Experience"
1793,"98","Fast Rush"
19662,"9999",""
263,"99kamilhuj","32132123"
24005,"9er","TEN-5"
18680,"9ianny","AKRIVIS ESPORTS"
16749,"9Iron","Evolved Gamers"
19246,"9ondoss","Twareg Esports"
6706,"9room",""
16672,"9rwsquadawper","Depth Esports"
4692,"9sBoy#AAA",""
4689,"9sBoy#AAAA",""
1027,"9th","Z11"
23373,"9Tribez","Attacking Soul Esports"
25167,"A1","NEVIS"
8773,"A1","969 gang"
663,"a11ex",""
22130,"A1D","S4-GE"
22613,"a1dz","The Chads"
19686,"A1ex","Victory (Vietnam)"
7330,"a1fie","Washed"
15128,"a1ms0nz","washedfortniteboomers"
7519,"a1mstar","No Witness"
8848,"A1oe","5op"
11617,"a1s","Kingsmen V"
2655,"A1tmaN","ShikouKouketsu"
920,"A1V","Bunkergg"
25036,"A4","Nova Whale"
4292,"A77",""
23113,"AAAAY","FunPlus Phoenix ZHUQUE"
8138,"aaarezmd","Pivetada"
4092,"Aak","Weibo Gaming"
7955,"Aang","Marlian eSports"
17027,"Aanszo","Avium Esports"
15952,"aaraN",""
9530,"Aarin",""
13268,"aaron","Ivy (NA)"
15969,"Aaroniero",""
1110,"AaroNuk","GGmate"
20532,"aawox","90s"
24388,"AB",""
24389,"A B",""
6059,"abA","Amigos do fumas"
1342,"Aba","Akademus Esport"
18781,"ABabyKiwi","ANV Frost"
8214,"abaddon","locos de lança"
3323,"Abaddon","Mineros FC Esports"
5038,"Abadzer0","Golden Gallos"
23834,"Aband","Tempest Gaming"
10499,"Abao","Victory Formula"
20129,"abassy","Digitroni Esports"
2411,"ABATMAN",""
12454,"ABC M4",""
11,"Abdulmalek","run it down mid"
16006,"AbduR","Full Power Gaming"
661,"abE","Triangle Offense"
6421,"abeL","Apollo Esports"
20666,"Abel","Erro VAL7"
6658,"Abilities","lvl 10"
19573,"AblaZePG","Nocturnal Gaming"
18192,"ableJ","FURIA"
13079,"AboBba",""
14711,"Abomization","Luccini Gaming"
3374,"Abongcs","NOMADEN Blu"
20838,"above","325 on the dashboard"
13284,"Abram","Team Artisan"
13709,"Abrex","OLD Puggers"
14656,"abrhmm","Tr4sh Esports"
12142,"Abrvxas","Slaughter House"
8100,"Absent",""
24901,"Absidi","VOX One"
22491,"ABSINTH FAIRY",""
5247,"Absolut","Nekoma Esports"
566,"Absolute","Running Dogs"
19726,"abstract","Canine 9"
24417,"Abstrxct","101 Percent"
9995,"ABTAGALLON","Cereal Before Milk"
2032,"abu","Team Hydro"
5152,"Abuquintero","Dark Galaxy"
7370,"AbussoS","Rave Party"
5025,"AbyNitro","Wölfe Esports"
6148,"abyss","StrigiManse"
24973,"Abyss","Realism Esports"
20218,"Abyssal","XYZ"
1732,"Abysss",""
7231,"abyzz","Coliseo Xibalbá Esports"
21604,"ABZ DRT","Ablaze E-Sport"
11883,"Ac3trix","chord"
22030,"acabz","FRATERN1TY"
19897,"Acaciaz","Team EVO"
17294,"acApp","UwU"
1499,"ACCEL","Team Rocket (KR)"
4106,"AccHr","O2 Gaming"
21064,"Accio","DD Detectors"
21063,"Accio (deleted)",""
21202,"Accue",""
1524,"Ace","AkaLion"
847,"Ace",""
22314,"Ace","Team Phenix"
24135,"ACE","Mellows Fellows"
15360,"ACE","Team Nemesis"
18335,"AceBlazeThe3rd","ZERO LAG"
20989,"Âcediâ","TETA Esports"
9335,"Acel","Monkhas eSports"
